,,,,,,,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값,평균값
작업장,일자,지종,평량,달력연도,달력월,시간|항목,BLADE_시간,BP평량,거칠음도_B,거칠음도_T,도공량_THERMAL,도공량_UNDER,동적발색도_EPSON,동적발색_0.8msec,동적발색_1.28msec,두께,백감도,백색도,불투명도,색상_a,색상_b,색상_L,선압,선압,속도,인열강도_MD,인장강도_MD,정적발색_110℃,정적발색_70℃,지합,투기도,평량,평활도_B,평활도_T,회분(배부)
CM22 코타와인더,2025.01.01,한솔감열지SF 장항,48,2025,1,0059,6.20,36.00,4.73,2.40,3.18,6.73,3.36,2.07,2.39,55.90,98.40,93.20,86.30,-0.44,1.09,94.10,146.00,96.00,"1,300.00",,,1.27,0.16,,,47.20,181.00,491.00,
CM22 코타와인더,2025.01.01,한솔감열지SF 장항,48,2025,1,0403,9.20,36.00,4.87,2.51,3.18,6.24,3.32,2.05,2.39,56.20,98.50,93.10,85.60,-0.45,1.14,94.10,143.00,93.00,"1,300.00",,,1.41,0.17,,,46.80,183.00,486.00,
CM22 코타와인더,2025.01.01,한솔감열지SF 장항,48,2025,1,0818,13.50,36.80,4.95,2.54,3.18,6.46,3.34,2.05,2.39,55.50,98.80,93.30,85.60,-0.43,1.07,94.20,143.00,93.00,"1,300.00",,,1.36,0.17,,,46.80,183.00,457.00,
CM22 코타와인더,2025.01.01,한솔감열지SF 장항,48,2025,1,1325,18.50,36.80,4.77,2.48,3.16,6.21,3.33,2.01,2.35,55.50,98.80,93.70,85.30,-0.50,1.21,94.40,143.00,93.00,"1,300.00",,,1.33,0.16,,,47.00,193.00,491.00,
CM22 코타와인더,2025.01.11,한솔감열지SF 장항,48,2025,1,0511,1.60,36.50,5.09,2.49,3.31,6.83,3.37,1.95,2.38,56.00,99.60,92.50,85.20,-0.52,1.01,93.70,135.00,85.00,"1,250.00",,,1.48,0.16,,,47.60,179.00,498.00,
CM22 코타와인더,2025.01.11,한솔감열지SF 장항,48,2025,1,0825,5.00,36.00,5.04,2.47,3.28,6.51,3.36,2.06,2.40,57.00,99.00,92.90,85.70,-0.48,1.12,94.00,133.00,83.00,"1,250.00",,,1.35,0.16,,,48.40,169.00,468.00,
CM22 코타와인더,2025.01.11,한솔감열지SF 장항,48,2025,1,1301,9.30,36.00,5.16,2.53,3.25,6.71,3.36,1.97,2.37,56.40,98.20,92.70,85.40,-0.52,1.19,93.90,133.00,83.00,"1,300.00",,,1.39,0.16,,,47.50,168.00,461.00,
CM22 코타와인더,2025.01.11,한솔감열지SF 장항,48,2025,1,1738,14.10,36.40,5.12,2.57,3.25,6.58,3.38,2.02,2.37,56.10,98.47,92.85,85.58,-0.52,1.16,94.08,133.00,83.00,"1,300.00",,,1.39,0.16,,,47.40,173.00,459.00,
CM22 코타와인더,2025.01.11,한솔감열지SF 장항,48,2025,1,2043,17.10,36.90,5.12,2.55,3.25,6.36,3.35,2.00,2.38,57.60,98.65,93.08,85.96,-0.49,1.18,94.15,133.00,83.00,"1,300.00",,,1.37,0.16,,,48.30,176.00,489.00,
CM22 코타와인더,2025.01.12,한솔감열지SF 장항,48,2025,1,2106,1.40,36.60,5.07,2.45,3.17,6.90,3.36,2.02,2.37,56.00,97.94,92.64,85.79,-0.54,1.09,93.95,133.00,83.00,"1,100.00",,,1.30,0.16,,,47.80,183.00,535.00,
CM22 코타와인더,2025.01.12,한솔감열지SF 장항,48,2025,1,0118,20.40,36.00,5.19,2.54,3.23,6.67,3.34,2.03,2.37,55.80,97.80,92.50,85.70,-0.56,1.19,93.90,133.00,83.00,"1,300.00",,,1.36,0.17,,,47.50,178.00,484.00,
